member_supplier_name~membership_number~catalogue_name~brand_name~label_name~appa_product_code~product_code~product_name~product_code_group~categorisation~category_ /_sub category~Memento Category~additional_keywords~product_tags~discontinued_stock~product_description~description_additional~product_features~product_materials~product_item_size~product_packaging_inner~product_image_file_name~alternate_views_image_file_names~group_image_file_name~colours_available_appa~colours_available_supplier~colour_image_file_names~colour_product_codes~product_sizes~size_images~size_product_code~decoration_options_available~decoration_areas~indent_only~branded~custom_field_1~custom_field_2~custom_field_3~price_decoration_description~decoration position ~decoration color~decoration_type~price_product_code~price_notes~MOQ~IOQ~qty_1~sell_1~qty_2~sell_2~qty_3~sell_3~qty_4~sell_4~qty_5~sell_5~qty_6~sell_6~qty_7~sell_7~qty_8~sell_8~additional_charges_name1~additional_charge_value1~Set-up Charge~additional_charges_notes1~additional_charges_name2~additional_charge_value2~additional_charges_notes2~carton_height~carton_width~carton_depth~carton_weight~carton_qty~carton_cubic~carton_notes~freight_description~product_URL
1635~2164~The Range 2017~~~~21M9142~A5 Pad Cover~21M9142~21M21M9142~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A5 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen not included.~~Bonded leather~225mm(h) x 170mm(w) x 17mm(d)~Wrapped in tissue paper and presented in a folded black 2 part gift box.  Packaging Size: 235mm(h) x 175mm(w) x 20mm(d)~9142.jpg~9142_0011.jpg | 9142_0006.jpg | 9142_0009.jpg | 9142_0008.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 90mm(h) x 120mm(w).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 Colour Screen Print (2 colours)~1 position~2 colour~Screen Print~Screen Print~~10~~10~45.22~25~29.13~50~23.98~100~20.69~250~18.38~500~16.47~1000~15.94~2500~15.81~Setup~150~210~Repeat Setup Cost: $40~Pre Production Sample~~$75.00 + $50.00 per colour + $40.00 per colour (if job proceeds)~390~390~265~12.5~30~0.0403065~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9142
1636~2164~The Range 2017~~~~21M9142~A5 Pad Cover~21M9142~21M21M9142~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A5 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen not included.~~Bonded leather~225mm(h) x 170mm(w) x 17mm(d)~Wrapped in tissue paper and presented in a folded black 2 part gift box.  Packaging Size: 235mm(h) x 175mm(w) x 20mm(d)~9142.jpg~9142_0011.jpg | 9142_0006.jpg | 9142_0009.jpg | 9142_0008.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 90mm(h) x 120mm(w).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + Deboss~1 position~Tone on tone~Deboss~Blind Emboss~~10~~10~31.21~25~27.66~50~24.82~100~22.23~250~19.35~500~16.96~1000~16.22~2500~15.81~Setup~185~260~Repeat Setup Cost: $30~Pre Production Sample~~$185~390~390~265~12.5~30~0.0403065~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9142
1637~2164~The Range 2017~~~~21M9142~A5 Pad Cover~21M9142~21M21M9142~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A5 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen not included.~~Bonded leather~225mm(h) x 170mm(w) x 17mm(d)~Wrapped in tissue paper and presented in a folded black 2 part gift box.  Packaging Size: 235mm(h) x 175mm(w) x 20mm(d)~9142.jpg~9142_0011.jpg | 9142_0006.jpg | 9142_0009.jpg | 9142_0008.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 90mm(h) x 120mm(w).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 Colour Foil Filled Deboss (1 colour)~1 position~1 colour~Foil Filled Deboss~Foil Filled Emboss~~10~~10~34.67~25~30.26~50~26.48~100~23.68~250~20.69~500~18.21~1000~17.47~2500~17.06~Setup~195~275~Repeat Setup Cost: $40~Pre Production Sample~~$195~390~390~265~12.5~30~0.0403065~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9142
1638~2164~The Range 2017~~~~21M9142~A5 Pad Cover~21M9142~21M21M9142~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A5 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen not included.~~Bonded leather~225mm(h) x 170mm(w) x 17mm(d)~Wrapped in tissue paper and presented in a folded black 2 part gift box.  Packaging Size: 235mm(h) x 175mm(w) x 20mm(d)~9142.jpg~9142_0011.jpg | 9142_0006.jpg | 9142_0009.jpg | 9142_0008.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 90mm(h) x 120mm(w).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 Colour Foil Filled Deboss (2 colours)~1 position~2 colour~Foil Filled Deboss~Foil Filled Emboss~~10~~10~36.23~25~31.81~50~27.98~100~25.13~250~22.04~500~19.46~1000~18.72~2500~18.31~Setup~235~330~Repeat Setup Cost: $40~Pre Production Sample~~$40~390~390~265~12.5~30~0.0403065~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9142
1639~2164~The Range 2017~~~~21M9142~A5 Pad Cover~21M9142~21M21M9142~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A5 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen not included.~~Bonded leather~225mm(h) x 170mm(w) x 17mm(d)~Wrapped in tissue paper and presented in a folded black 2 part gift box.  Packaging Size: 235mm(h) x 175mm(w) x 20mm(d)~9142.jpg~9142_0011.jpg | 9142_0006.jpg | 9142_0009.jpg | 9142_0008.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 90mm(h) x 120mm(w).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 Colour Foil Stamp (1 colour)~1 position~1 colour~Foil Stamp~Foil Stamping~~10~~10~31.21~25~27.66~50~24.82~100~22.23~250~19.35~500~16.96~1000~16.22~2500~15.81~Setup~185~260~Repeat Setup Cost: $30~Pre Production Sample~~$185~390~390~265~12.5~30~0.0403065~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9142
1640~2164~The Range 2017~~~~21M9142~A5 Pad Cover~21M9142~21M21M9142~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A5 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen not included.~~Bonded leather~225mm(h) x 170mm(w) x 17mm(d)~Wrapped in tissue paper and presented in a folded black 2 part gift box.  Packaging Size: 235mm(h) x 175mm(w) x 20mm(d)~9142.jpg~9142_0011.jpg | 9142_0006.jpg | 9142_0009.jpg | 9142_0008.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 90mm(h) x 120mm(w).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 Colour Foil Stamp (2 colours)~1 position~2 colour~Foil Stamp~Foil Stamping~~10~~10~32.25~25~28.70~50~25.82~100~23.19~250~20.25~500~17.79~1000~17.06~2500~16.64~Setup~215~305~Repeat Setup Cost: $30~Pre Production Sample~~$30~390~390~265~12.5~30~0.0403065~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9142
1641~2164~The Range 2017~~~~21M9142~A5 Pad Cover~21M9142~21M21M9142~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A5 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen not included.~~Bonded leather~225mm(h) x 170mm(w) x 17mm(d)~Wrapped in tissue paper and presented in a folded black 2 part gift box.  Packaging Size: 235mm(h) x 175mm(w) x 20mm(d)~9142.jpg~9142_0011.jpg | 9142_0006.jpg | 9142_0009.jpg | 9142_0008.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 90mm(h) x 120mm(w).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 colour pad print (1 colour)~1 position~1 colour~Pad Print~Pad Print~~10~~10~38.56~25~27.32~50~22.35~100~18.92~250~15.91~500~14.32~1000~13.86~2500~13.79~Setup~85~120~Repeat Setup Cost: $50~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~390~390~265~12.5~30~0.0403065~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9142
1642~2164~The Range 2017~~~~21M9142~A5 Pad Cover~21M9142~21M21M9142~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A5 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen not included.~~Bonded leather~225mm(h) x 170mm(w) x 17mm(d)~Wrapped in tissue paper and presented in a folded black 2 part gift box.  Packaging Size: 235mm(h) x 175mm(w) x 20mm(d)~9142.jpg~9142_0011.jpg | 9142_0006.jpg | 9142_0009.jpg | 9142_0008.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 90mm(h) x 120mm(w).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 colour pad print (2 colours)~1 position~2 colour~Pad Print~Pad Print~~10~~10~58.02~25~34.23~50~26.30~100~20.85~250~16.66~500~14.94~1000~14.49~2500~14.35~Setup~140~200~Repeat Setup Cost: $35~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~390~390~265~12.5~30~0.0403065~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9142
1643~2164~The Range 2017~~~~21M9143~A4 Pad Cover~21M9143~21M21M9143~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A4 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen available separately item number #687~~Bonded leather~310mm(h) x 230mm(w) x 17mm(d)~In a polybag and presented in a folded black 2 part gift box.  Packaging Size: 330mm(h) x 245mm(w) x 25mm(d)~9143.jpg~9143_0012.jpg | 9143_0010.jpg | 9143_0006.jpg | 9143_0009.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 150mm(w) x 150mm(h).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 Colour Screen Print (1 colour)~1 position~1 colour~Screen Print~Screen Print~~10~~10~34.43~25~25.73~50~21.95~100~19.60~250~17.63~500~15.76~1000~15.69~2500~15.63~Setup~75~105~Repeat Setup Cost: $40~Pre Production Sample~~$75.00 + $50.00 per colour + $40.00 per colour (if job proceeds)~530~260~340~13.5~20~0.046852~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9143
1644~2164~The Range 2017~~~~21M9143~A4 Pad Cover~21M9143~21M21M9143~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A4 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen available separately item number #687~~Bonded leather~310mm(h) x 230mm(w) x 17mm(d)~In a polybag and presented in a folded black 2 part gift box.  Packaging Size: 330mm(h) x 245mm(w) x 25mm(d)~9143.jpg~9143_0012.jpg | 9143_0010.jpg | 9143_0006.jpg | 9143_0009.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 150mm(w) x 150mm(h).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 Colour Screen Print (2 colours)~1 position~2 colour~Screen Print~Screen Print~~10~~10~47.40~25~30.92~50~24.70~100~21.53~250~19.35~500~17.29~1000~17.15~2500~17.01~Setup~150~210~Repeat Setup Cost: $40~Pre Production Sample~~$75.00 + $50.00 per colour + $40.00 per colour (if job proceeds)~530~260~340~13.5~20~0.046852~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9143
1645~2164~The Range 2017~~~~21M9143~A4 Pad Cover~21M9143~21M21M9143~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A4 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen available separately item number #687~~Bonded leather~310mm(h) x 230mm(w) x 17mm(d)~In a polybag and presented in a folded black 2 part gift box.  Packaging Size: 330mm(h) x 245mm(w) x 25mm(d)~9143.jpg~9143_0012.jpg | 9143_0010.jpg | 9143_0006.jpg | 9143_0009.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 150mm(w) x 150mm(h).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + Deboss~1 position~Tone on tone~Deboss~Blind Emboss~~10~~10~32.73~25~29.19~50~25.37~100~22.90~250~20.10~500~17.64~1000~17.29~2500~16.88~Setup~185~260~Repeat Setup Cost: $30~Pre Production Sample~~$185~530~260~340~13.5~20~0.046852~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9143
1646~2164~The Range 2017~~~~21M9143~A4 Pad Cover~21M9143~21M21M9143~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A4 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen available separately item number #687~~Bonded leather~310mm(h) x 230mm(w) x 17mm(d)~In a polybag and presented in a folded black 2 part gift box.  Packaging Size: 330mm(h) x 245mm(w) x 25mm(d)~9143.jpg~9143_0012.jpg | 9143_0010.jpg | 9143_0006.jpg | 9143_0009.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 150mm(w) x 150mm(h).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 Colour Foil Filled Deboss (1 colour)~1 position~1 colour~Foil Filled Deboss~Foil Filled Emboss~~10~~10~36.19~25~31.78~50~27.03~100~24.35~250~21.44~500~18.89~1000~18.54~2500~18.13~Setup~195~275~Repeat Setup Cost: $40~Pre Production Sample~~$195~530~260~340~13.5~20~0.046852~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9143
1647~2164~The Range 2017~~~~21M9143~A4 Pad Cover~21M9143~21M21M9143~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A4 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen available separately item number #687~~Bonded leather~310mm(h) x 230mm(w) x 17mm(d)~In a polybag and presented in a folded black 2 part gift box.  Packaging Size: 330mm(h) x 245mm(w) x 25mm(d)~9143.jpg~9143_0012.jpg | 9143_0010.jpg | 9143_0006.jpg | 9143_0009.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 150mm(w) x 150mm(h).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 Colour Foil Filled Deboss (2 colours)~1 position~2 colour~Foil Filled Deboss~Foil Filled Emboss~~10~~10~37.75~25~33.34~50~28.53~100~25.81~250~22.79~500~20.14~1000~19.79~2500~19.38~Setup~235~330~Repeat Setup Cost: $40~Pre Production Sample~~$40~530~260~340~13.5~20~0.046852~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9143
1648~2164~The Range 2017~~~~21M9143~A4 Pad Cover~21M9143~21M21M9143~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A4 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen available separately item number #687~~Bonded leather~310mm(h) x 230mm(w) x 17mm(d)~In a polybag and presented in a folded black 2 part gift box.  Packaging Size: 330mm(h) x 245mm(w) x 25mm(d)~9143.jpg~9143_0012.jpg | 9143_0010.jpg | 9143_0006.jpg | 9143_0009.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 150mm(w) x 150mm(h).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 Colour Foil Stamp (1 colour)~1 position~1 colour~Foil Stamp~Foil Stamping~~10~~10~32.73~25~29.19~50~25.37~100~22.90~250~20.10~500~17.64~1000~17.29~2500~16.88~Setup~185~260~Repeat Setup Cost: $30~Pre Production Sample~~$185~530~260~340~13.5~20~0.046852~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9143
1649~2164~The Range 2017~~~~21M9143~A4 Pad Cover~21M9143~21M21M9143~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A4 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen available separately item number #687~~Bonded leather~310mm(h) x 230mm(w) x 17mm(d)~In a polybag and presented in a folded black 2 part gift box.  Packaging Size: 330mm(h) x 245mm(w) x 25mm(d)~9143.jpg~9143_0012.jpg | 9143_0010.jpg | 9143_0006.jpg | 9143_0009.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 150mm(w) x 150mm(h).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 Colour Foil Stamp (2 colours)~1 position~2 colour~Foil Stamp~Foil Stamping~~10~~10~33.77~25~30.22~50~26.37~100~23.87~250~20.99~500~18.47~1000~18.13~2500~17.71~Setup~215~305~Repeat Setup Cost: $30~Pre Production Sample~~$30~530~260~340~13.5~20~0.046852~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9143
1650~2164~The Range 2017~~~~21M9143~A4 Pad Cover~21M9143~21M21M9143~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A4 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen available separately item number #687~~Bonded leather~310mm(h) x 230mm(w) x 17mm(d)~In a polybag and presented in a folded black 2 part gift box.  Packaging Size: 330mm(h) x 245mm(w) x 25mm(d)~9143.jpg~9143_0012.jpg | 9143_0010.jpg | 9143_0006.jpg | 9143_0009.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 150mm(w) x 150mm(h).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 colour pad print (1 colour)~1 position~1 colour~Pad Print~Pad Print~~10~~10~38.96~25~28.55~50~22.73~100~19.44~250~17.55~500~15.83~1000~15.76~2500~15.63~Setup~85~120~Repeat Setup Cost: $50~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~530~260~340~13.5~20~0.046852~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9143
1651~2164~The Range 2017~~~~21M9143~A4 Pad Cover~21M9143~21M21M9143~Compendiums/Leather Pad Covers | ~Stationery | Compendiums~Compendium |  Leather Pad Covers |  A4 |  note |  pad |  bonded |  leather |  25 |  page |  spiral |  pad |  pad |  cover |   conference |  Black |  Bonded |  leather~~FALSE~Made from bonded leather with elastic closure and pen loop.~Features 25 page lined spiral pad which inserts from the side. Pen available separately item number #687~~Bonded leather~310mm(h) x 230mm(w) x 17mm(d)~In a polybag and presented in a folded black 2 part gift box.  Packaging Size: 330mm(h) x 245mm(w) x 25mm(d)~9143.jpg~9143_0012.jpg | 9143_0010.jpg | 9143_0006.jpg | 9143_0009.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Screen: 150mm(w) x 150mm(h).  Other Methods: Contact your decorator for applicability and size~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 colour pad print (2 colours)~1 position~2 colour~Pad Print~Pad Print~~10~~10~56.09~25~35.47~50~26.85~100~21.53~250~19.50~500~17.57~1000~17.43~2500~17.15~Setup~140~200~Repeat Setup Cost: $35~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~530~260~340~13.5~20~0.046852~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9143
1652~2164~The Range 2017~~~~21M9147~A5 Zippered Leather Compendium~21M9147~21M21M9147~Compendiums/Leather Zippered | ~Stationery | Compendiums~Compendium |  Leather Zippered |  side entry pad |  Black~~FALSE~Manufactured from full grain leather this zippered compendium has a unique pen holder on the front cover. Internally it has a gusseted pocket and sections to hold business and credit cards. Supplied with a spiral pad this compendium can also hold a standard top inserted.~Will accommodate a side entry pad.~~Full grain leather~265mm(h) x 190mm(w) x 30mm(d)~Wrapped in white tissue paper. Presented in a 2 part black gift box. Packaging Size: 210mm(w) x 270mm(h) x 45mm(d).~9147_3.jpg~9147_1.jpg | 9147_2.jpg | 9147_4.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print  |  Laser Engrave ~Screen - 120mm(h) x 120mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 Colour Screen Print (1 colour)~1 position~1 colour~Screen Print~Screen Print~~10~~10~61.90~25~51.63~50~46.06~100~40.28~250~36.25~500~35.11~1000~35.04~2500~34.97~Setup~75~105~Repeat Setup Cost: $40~Pre Production Sample~~$75.00 + $50.00 per colour + $40.00 per colour (if job proceeds)~475~419~295~16.5~25~0.058712375~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9147
1653~2164~The Range 2017~~~~21M9147~A5 Zippered Leather Compendium~21M9147~21M21M9147~Compendiums/Leather Zippered | ~Stationery | Compendiums~Compendium |  Leather Zippered |  side entry pad |  Black~~FALSE~Manufactured from full grain leather this zippered compendium has a unique pen holder on the front cover. Internally it has a gusseted pocket and sections to hold business and credit cards. Supplied with a spiral pad this compendium can also hold a standard top inserted.~Will accommodate a side entry pad.~~Full grain leather~265mm(h) x 190mm(w) x 30mm(d)~Wrapped in white tissue paper. Presented in a 2 part black gift box. Packaging Size: 210mm(w) x 270mm(h) x 45mm(d).~9147_3.jpg~9147_1.jpg | 9147_2.jpg | 9147_4.jpg | ~~~~~~~~~Badge  |  Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print  |  Laser Engrave ~Screen - 120mm(h) x 120mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 Colour Screen Print (2 colours)~1 position~2 colour~Screen Print~Screen Print~~10~~10~74.87~25~56.63~50~48.73~100~42.07~250~37.85~500~36.64~1000~36.50~2500~36.36~Setup~150~210~Repeat Setup Cost: $40~Pre Production Sample~~$75.00 + $50.00 per colour + $40.00 per colour (if job proceeds)~475~419~295~16.5~25~0.058712375~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?9147
